open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1774424100000,71178.91000000,71220.00000000,71152.75000000,71213.98000000,49.07018000,1774424399999,3493283.54894770,8260,22.38337000,1593502.11349620,0
1774424400000,71213.98000000,71270.11000000,71053.53000000,71056.76000000,72.12924000,1774424699999,5133311.29632240,10629,27.76784000,1976060.24156550,0
1774424700000,71056.75000000,71084.89000000,70893.97000000,70974.11000000,79.89100000,1774424999999,5670621.42981200,11150,19.36036000,1374151.37341130,0
1774425000000,70974.11000000,70979.76000000,70909.80000000,70909.80000000,42.69912000,1774425299999,3029560.01461160,6967,11.10778000,788173.34470310,0
1774425300000,70909.80000000,70937.91000000,70891.31000000,70926.88000000,46.30632000,1774425599999,3283785.95987700,7376,15.11710000,1072070.27798900,0
1774425600000,70926.88000000,71010.92000000,70926.88000000,70998.13000000,46.05849000,1774425899999,3268907.07277910,8381,24.30747000,1725240.86680210,0
1774425900000,70998.13000000,70998.14000000,70845.03000000,70845.03000000,99.20860000,1774426199999,7033470.77721370,14737,18.64499000,1321604.25851980,0
1774426200000,70847.56000000,70863.81000000,70800.00000000,70811.41000000,67.66649000,1774426499999,4792840.28245470,10383,13.28682000,941146.44128700,0
1774426500000,70811.41000000,71100.00000000,70811.41000000,71099.99000000,68.99536000,1774426799999,4897359.20137750,10479,42.83059000,3040616.24768020,0
1774426800000,71100.00000000,71130.00000000,71047.64000000,71080.02000000,42.32031000,1774427099999,3008140.09663770,10194,15.55519000,1105616.42997050,0
1774427100000,71080.02000000,71250.00000000,71048.00000000,71192.19000000,58.70985000,1774427399999,4177380.93593160,12503,27.26789000,1940172.63098160,0
1774427400000,71192.18000000,71503.94000000,71187.19000000,71494.94000000,216.60407000,1774427699999,15468105.78849730,28651,155.94317000,11138660.82258290,0
1774427700000,71494.94000000,71497.96000000,71300.00000000,71366.26000000,122.04097000,1774427999999,8716469.65475240,26239,67.05689000,4790868.61606330,0
1774428000000,71366.25000000,71500.01000000,71366.25000000,71478.32000000,296.87117000,1774428299999,21214157.63490910,13285,188.52039000,13470501.84821420,0
1774428300000,71478.32000000,71478.33000000,71325.01000000,71331.15000000,53.13928000,1774428599999,3794185.51276320,11777,23.59085000,1684429.74091320,0
1774428600000,71331.15000000,71344.82000000,71252.00000000,71259.63000000,34.04007000,1774428899999,2427048.87483090,6384,15.52524000,1106868.07028270,0
1774428900000,71259.63000000,71310.01000000,71223.95000000,71248.39000000,45.17672000,1774429199999,3219300.03907080,8864,28.56098000,2035228.42449150,0
1774429200000,71248.40000000,71294.00000000,71225.83000000,71255.49000000,33.76326000,1774429499999,2406024.38529070,9770,19.20265000,1368444.01323250,0
1774429500000,71255.48000000,71374.59000000,71233.59000000,71365.43000000,113.22825000,1774429799999,8075283.63536550,12476,90.21783000,6434837.95889110,0
1774429800000,71365.43000000,71385.72000000,71300.01000000,71334.03000000,61.93814000,1774430099999,4419183.28479040,11279,41.64855000,2971740.71524070,0
1774430100000,71334.03000000,71404.25000000,71316.73000000,71319.22000000,40.76579000,1774430399999,2908764.53457080,8784,26.78998000,1911502.21879700,0
1774430400000,71319.22000000,71396.27000000,71172.96000000,71233.58000000,47.55075000,1774430699999,3389149.23535890,9428,17.63912000,1257234.17129270,0
1774430700000,71233.58000000,71308.90000000,71210.50000000,71268.20000000,38.63441000,1774430999999,2752939.74822020,5299,21.68929000,1545325.99314550,0
1774431000000,71268.20000000,71326.00000000,71250.06000000,71260.40000000,36.09237000,1774431299999,2573029.78874900,6356,9.29376000,662622.56503460,0
1774431300000,71260.40000000,71297.23000000,71228.34000000,71297.22000000,45.19271000,1774431599999,3220561.74559070,6523,19.97236000,1423192.45141610,0
1774431600000,71297.22000000,71312.22000000,71255.85000000,71263.02000000,26.20233000,1774431899999,1867642.31477870,5081,11.89238000,847659.75233090,0
1774431900000,71263.02000000,71263.02000000,71101.99000000,71160.28000000,62.19913000,1774432199999,4425790.37322190,8994,23.51702000,1672878.10068850,0
1774432200000,71160.28000000,71222.19000000,71160.28000000,71222.19000000,28.93706000,1774432499999,2060257.50346710,5678,11.86166000,844515.46170660,0
1774432500000,71222.18000000,71415.12000000,71222.18000000,71345.91000000,63.92287000,1774432799999,4559226.54105270,13218,38.36860000,2736534.16168430,0
1774432800000,71345.91000000,71441.77000000,71291.69000000,71321.88000000,63.48780000,1774433099999,4531610.24647720,15205,29.43754000,2101013.99173610,0
1774433100000,71321.88000000,71408.55000000,71319.34000000,71396.05000000,31.55891000,1774433399999,2252454.61477150,6958,21.02828000,1500829.40797180,0
1774433400000,71396.04000000,71456.76000000,71393.24000000,71420.00000000,42.11459000,1774433699999,3007974.26081790,7165,28.66964000,2047652.68418620,0
1774433700000,71420.00000000,71482.00000000,71371.37000000,71449.02000000,34.78647000,1774433999999,2485132.52030480,9427,15.17275000,1083837.57650830,0
1774434000000,71449.02000000,71482.00000000,71390.46000000,71402.26000000,22.94739000,1774434299999,1639213.48091300,7973,11.89084000,849356.37550850,0
1774434300000,71402.26000000,71442.00000000,71402.26000000,71405.92000000,19.80095000,1774434599999,1414160.31215100,4275,9.88628000,706068.16309010,0
1774434600000,71405.92000000,71417.86000000,71325.02000000,71361.96000000,35.79178000,1774434899999,2554625.57506370,6774,16.47426000,1175840.70632500,0
1774434900000,71361.95000000,71409.29000000,71349.12000000,71365.88000000,25.28219000,1774435199999,1804385.31896920,5495,17.13085000,1222572.20316880,0
1774435200000,71365.88000000,71436.31000000,71325.02000000,71436.31000000,26.48861000,1774435499999,1890384.64795120,6914,14.13929000,1009186.52995580,0
1774435500000,71436.31000000,71641.91000000,71436.30000000,71546.67000000,113.53703000,1774435799999,8121845.67723650,16959,77.54792000,5546886.15680920,0
1774435800000,71546.66000000,71608.00000000,71533.88000000,71581.66000000,40.92030000,1774436099999,2928372.58380440,9398,19.42853000,1390310.27818430,0
1774436100000,71581.66000000,71590.96000000,71491.00000000,71501.39000000,28.50559000,1774436399999,2039192.08348220,6112,11.58687000,828897.05851500,0
1774436400000,71501.40000000,71514.28000000,71471.61000000,71503.31000000,37.20533000,1774436699999,2659828.75838270,6403,18.35400000,1312104.59993220,0
1774436700000,71503.31000000,71549.58000000,71470.49000000,71535.24000000,35.85166000,1774436999999,2563739.30192800,6872,21.92430000,1567836.95215670,0
1774437000000,71535.24000000,71605.00000000,71511.70000000,71599.09000000,32.33862000,1774437299999,2314015.76694910,7680,21.40890000,1531886.90307600,0
1774437300000,71599.10000000,71699.00000000,71599.10000000,71698.99000000,55.54289000,1774437599999,3980017.68668530,10588,37.19676000,2665337.67389730,0
1774437600000,71699.00000000,71765.65000000,71661.99000000,71699.46000000,95.53625000,1774437899999,6850108.28911610,13394,54.55970000,3911899.41213070,0
1774437900000,71699.45000000,71931.50000000,71687.18000000,71870.28000000,123.93240000,1774438199999,8902858.33810970,14743,77.81874000,5589389.68370340,0
1774438200000,71870.29000000,71990.81000000,71840.09000000,71937.06000000,195.98802000,1774438499999,14100758.59376360,22235,138.56937000,9970378.45490120,0
1774438500000,71937.06000000,72026.09000000,71820.00000000,71900.09000000,181.65943000,1774438799999,13071084.75572130,25101,126.78857000,9124480.66168960,0
1774438800000,71900.09000000,71927.22000000,71774.19000000,71813.42000000,122.10623000,1774439099999,8768790.37468170,12773,61.51938000,4417672.42096490,0
1774439100000,71813.43000000,71813.43000000,71528.84000000,71591.03000000,80.54564000,1774439399999,5772322.56204390,23765,26.05921000,1867938.18729260,0
1774439400000,71591.02000000,71682.00000000,71562.22000000,71628.87000000,49.68747000,1774439699999,3558196.87367170,13304,20.56598000,1472593.23778020,0
1774439700000,71628.87000000,71682.00000000,71622.50000000,71678.97000000,42.63837000,1774439999999,3055136.15663770,7897,13.96341000,1000581.47600640,0
1774440000000,71678.97000000,71795.77000000,71678.97000000,71795.04000000,48.11099000,1774440299999,3451582.08500620,13376,23.72698000,1702184.04086920,0
1774440300000,71795.04000000,71847.28000000,71768.73000000,71816.08000000,29.40908000,1774440599999,2111783.45330720,7675,11.61976000,834337.02866650,0
1774440600000,71816.09000000,71831.44000000,71750.00000000,71750.01000000,27.75798000,1774440899999,1992952.31002200,7805,8.30196000,596011.56697700,0
1774440900000,71750.00000000,71750.34000000,71326.34000000,71423.66000000,129.32263000,1774441199999,9244185.51229600,30037,36.11093000,2580890.63657780,0
1774441200000,71423.65000000,71431.76000000,71105.43000000,71225.61000000,138.16042000,1774441499999,9847757.87132890,32964,47.32429000,3373185.57196190,0
1774441500000,71225.61000000,71341.68000000,71132.00000000,71341.68000000,118.67061000,1774441799999,8457296.25442770,23774,51.31546000,3657688.03570950,0
1774441800000,71341.67000000,71373.76000000,71189.97000000,71372.48000000,63.62875000,1774442099999,4534196.18317360,20744,26.19184000,1866671.90164380,0
